message_id,action,message_type,reason,confidence,evidence_message_ids
msg_033,notify,personal,Direct personal communication from sender u_041 in group group_009 routed to notify.,0.795,message_0121;message_0122;message_0372
msg_061,mute,forward,Broadcast message (8x forwards) from sender u_051 in group group_001 routed to mute.,0.6389,message_0177;message_0194;message_0042
msg_020,mute,scam,Phishing risk or security threat detected from sender u_049 in group group_005.,0.985,message_0095;message_0096;message_0025
msg_017,mute,scam,Phishing risk or security threat detected from sender u_049 in group group_005.,0.985,message_0025;message_0090;message_0089
msg_058,mute,forward,Broadcast message (10x forwards) from sender u_051 in group group_001 routed to mute.,0.645,message_0123;message_0241;message_0078
msg_026,notify,payment,Financial transaction or payment alert from business business_036.,0.855,message_0028;message_0032;message_0107
msg_047,digest,business_update,Operational notification from sender u_043 in group group_011 routed to digest.,0.645,message_0150;message_0149;message_0139
msg_046,mute,scam,Phishing risk or security threat detected from sender u_041 in group group_008.,0.985,message_0148;message_0147;message_0166
msg_042,notify,business_update,Operational notification from sender u_043 in group group_011 routed to notify.,0.675,message_0139;message_0140;message_0150
msg_079,mute,scam,Phishing risk or security threat detected from sender u_050 in group group_005.,0.985,message_0213;message_0196;message_0174
msg_098,mute,scam,Phishing risk or security threat detected from sender u_041.,0.975,message_0359;message_0167;message_0054
msg_037,digest,business_update,Operational notification from sender u_043 in group group_002 routed to digest.,0.645,message_0029;message_0129;message_0215
msg_007,digest,business_update,Operational notification from sender u_043 in group group_010 routed to digest.,0.645,message_0070;message_0069;message_0008
msg_085,mute,spam,Empty or negligible content message muted as spam.,0.888,message_0221;message_0213;message_0199
msg_001,digest,business_update,Operational notification from sender u_043 in group group_002 routed to digest.,0.645,message_0057;message_0058;message_0240
msg_021,mute,scam,Phishing risk or security threat detected from sender u_043 in group group_002.,0.985,message_0029;message_0129;message_0215
msg_028,digest,event,Event schedule update from business business_092 routed to digest.,0.715,message_0034;message_0314;message_0111
msg_012,mute,forward,Broadcast message (9x forwards) from sender u_051 in group group_016 routed to mute.,0.645,message_0080;message_0247;message_0079
msg_064,digest,business_update,Operational notification from sender u_050 in group group_005 routed to digest.,0.645,message_0202;message_0184;message_0201
msg_103,digest,business_update,Operational notification from sender u_048 routed to digest.,0.6387,message_0065;message_0049;message_0382
msg_031,digest,business_update,Operational notification from sender u_046 in group group_004 routed to digest.,0.645,message_0118;message_0117;message_0249
msg_057,digest,business_update,Operational notification from sender u_046 in group group_004 routed to digest.,0.645,message_0003;message_0060;message_0170
msg_087,digest,business_update,Operational notification from sender u_052 in group group_022 routed to digest.,0.62,message_0223;message_0204;message_0358
msg_067,notify,payment,Financial transaction or payment alert from sender u_043 in group group_002.,0.855,message_0029;message_0129;message_0215
msg_039,notify,payment,Financial transaction or payment alert from sender u_045 in group group_003.,0.855,message_0209;message_0133;message_0051
msg_082,digest,business_update,Operational notification from sender u_046 in group group_004 routed to digest.,0.62,message_0218;message_0397;message_0003
msg_066,notify,payment,Financial transaction or payment alert from business business_067.,0.855,message_0336;message_0257;message_0402
msg_049,mute,scam,Phishing risk or security threat detected from business business_060.,0.9808,message_0154;message_0291;message_0153
msg_015,mute,scam,Phishing risk or security threat detected from sender u_049 in group group_005.,0.9846,message_0199;message_0200;message_0085
msg_051,notify,payment,Financial transaction or payment alert from business business_003.,0.855,message_0257;message_0337;message_0356
msg_097,digest,event,Event schedule update from sender u_041 routed to digest.,0.707,message_0366;message_0167;message_0054
msg_089,digest,greeting,Social greeting from sender u_049 routed to digest.,0.5501,message_0238;message_0096;message_0090
msg_053,mute,forward,Broadcast message (6x forwards) from sender u_054 in group group_021 routed to mute.,0.645,message_0253;message_0161;message_0162
msg_059,mute,scam,Phishing risk or security threat detected from sender u_050 in group group_005.,0.985,message_0213;message_0196;message_0174
msg_024,notify,payment,Financial transaction or payment alert from business business_003.,0.855,message_0257;message_0337;message_0356
msg_072,mute,scam,Phishing risk or security threat detected from sender u_049 in group group_005.,0.985,message_0199;message_0200;message_0085
msg_036,mute,scam,Phishing risk or security threat detected from business business_097.,0.985,message_0283;message_0127;message_0128
msg_076,digest,business_update,Operational notification from business business_064 routed to digest.,0.6378,message_0207;message_0208;message_0159
msg_055,notify,urgent,Time-sensitive alert from sender u_041 in group group_008 requiring immediate user attention.,0.875,message_0166;message_0165;message_0198
msg_102,mute,scam,Phishing risk or security threat detected from sender u_046.,0.982,message_0371;message_0230;message_0059
msg_080,digest,business_update,Operational notification from sender u_043 in group group_002 routed to digest.,0.645,message_0029;message_0129;message_0215
msg_093,mute,scam,Phishing risk or security threat detected from business business_070.,0.9622,message_0398;message_0349;message_0347
msg_034,mute,forward,Broadcast message (11x forwards) from sender u_051 in group group_001 routed to mute.,0.645,message_0123;message_0042;message_0241
msg_035,notify,payment,Financial transaction or payment alert from business business_093.,0.855,message_0273;message_0302;message_0281
msg_101,digest,event,Event schedule update from sender u_054 routed to digest.,0.708,message_0370;message_0229;message_0268
msg_041,digest,event,Event schedule update from business business_095 routed to digest.,0.715,message_0329;message_0287;message_0308
msg_011,mute,forward,Broadcast message (8x forwards) from sender u_051 in group group_001 routed to mute.,0.645,message_0123;message_0241;message_0078
msg_110,mute,scam,Phishing risk or security threat detected from sender u_049.,0.977,message_0238;message_0381;message_0361
msg_095,notify,payment,Financial transaction or payment alert from sender u_050.,0.8449,message_0201;message_0087;message_0183
msg_074,mute,scam,Phishing risk or security threat detected from sender u_052 in group group_022.,0.985,message_0223;message_0204;message_0301
msg_073,mute,spam,Unsolicited broadcast content from sender u_050 in group group_005 muted.,0.925,message_0202;message_0184;message_0201
msg_054,mute,scam,Phishing risk or security threat detected from sender u_052 in group group_014.,0.985,message_0164;message_0163;message_0389
msg_068,digest,business_update,Operational notification from sender u_054 in group group_015 routed to digest.,0.645,message_0191;message_0192;message_0010
msg_100,notify,payment,Financial transaction or payment alert from sender u_046.,0.8507,message_0362;message_0228;message_0117
msg_062,mute,spam,Unsolicited broadcast content from sender u_043 in group group_002 muted.,0.925,message_0029;message_0129;message_0215
msg_096,notify,personal,Personal or casual message from known contact.,0.7785,message_0025;message_0199;message_0095
msg_043,mute,spam,Unsolicited broadcast content from sender u_043 in group group_002 muted.,0.925,message_0029;message_0129;message_0215
msg_077,digest,business_update,Operational notification from sender u_045 in group group_003 routed to digest.,0.645,message_0209;message_0133;message_0051
msg_081,digest,business_update,Operational notification from sender u_045 in group group_003 routed to digest.,0.62,message_0217;message_0331;message_0209
msg_025,mute,scam,Phishing risk or security threat detected from business business_001.,0.985,message_0400;message_0297;message_0031
msg_084,mute,spam,Empty or negligible content message muted as spam.,0.888,message_0220;message_0407;message_0102
msg_022,mute,scam,Phishing risk or security threat detected from sender u_044 in group group_011.,0.985,message_0099;message_0100;message_0151
